OPE ID,School,State,Zip Code,School Type,20072008Qtr3_Dependent Students,20072008Qtr3_Independent Students,Quarterly Total,YTD_20072008Qtr3_Dependent Students,YTD_20072008Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,990,722,1712,4957,2445,7402
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,345,874,1219,1219,2687,3906
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,314,248,562,1588,852,2440
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1159,1188,2347,6627,3430,10057
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,332,572,904,878,1332,2210
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,144,749,893,469,2110,2579
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1403,868,2271,11559,4131,15690
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,106,47,153,1445,200,1645
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,862,1211,2073,2697,3826,6523
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,259,350,609,727,858,1585
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,594,623,1217,2946,1906,4852
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,543,1018,1561,1683,2456,4139
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,70,122,192,208,346,554
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,417,924,1341,1072,2054,3126
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,153,99,252,875,290,1165
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,958,1183,2141,4788,3718,8506
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,124,243,367,376,579,955
