OPE ID,School,State,Zip Code,School Type,20152016Qtr3_Dependent Students,20152016Qtr3_Independent Students,Quarterly Total,YTD_20152016Qtr3_Dependent Students,YTD_20152016Qtr3_Independent Students,Award Year To Date Total
00711300,ARIZONA CHRISTIAN UNIVERSITY            ,AZ,85032-7097,Private      ,170,163,333,1285,590,1875
00726600,PIMA COUNTY COMMUNITY COLLEGE           ,AZ,85709-1110,Public       ,2239,3827,6066,9678,13058,22736
00728300,CENTRAL ARIZONA COLLEGE                 ,AZ,85228-0000,Public       ,737,1043,1780,2801,3690,6491
00732911,ITT TECHNICAL INSTITUTE                 ,AZ,85282-9272,Proprietary  ,102,577,679,387,2074,2461
00732990,ITT TECHNICAL INSTITUTE                 ,AZ,85704-5829,Proprietary  ,156,691,847,529,2142,2671
00822100,UNIVERSAL TECHNICAL INSTITUTE           ,AZ,85323-7946,Proprietary  ,1529,1700,3229,12640,9839,22479
00824600,DINÉ COLLEGE                            ,AZ,86556-0126,Public       ,183,393,576,611,1066,1677
00830300,GATEWAY COMMUNITY COLLEGE               ,AZ,85034-1795,Public       ,645,1930,2575,3403,7024,10427
00830302,MARICOPA SKILL CENTER                   ,AZ,85034-0000,Public       ,96,309,405,406,1062,1468
00830400,SCOTTSDALE COMMUNITY COLLEGE            ,AZ,85250-0000,Public       ,755,1176,1931,3716,4148,7864
00886400,ARIZONA ACADEMY OF BEAUTY               ,AZ,85712-5021,Proprietary  ,11,53,64,64,154,218
01085800,AVALON SCHOOL OF COSMETOLOGY            ,AZ,85210-4010,Proprietary  ,127,238,365,432,751,1183
01168900,REFRIGERATION SCHOOL                    ,AZ,85034-0000,Proprietary  ,56,324,380,135,830,965
01180200,ARIZONA ACADEMY OF BEAUTY-NORTH         ,AZ,85705-2720,Proprietary  ,7,43,50,33,97,130
01186200,NORTHLAND PIONEER COLLEGE               ,AZ,86025-0610,Public       ,144,349,493,574,1378,1952
01186400,MOHAVE COMMUNITY COLLEGE                ,AZ,86409-1238,Public       ,301,864,1165,1159,2927,4086
01218400,INTERNATIONAL ACADEMY OF HAIR DESIGN    ,AZ,85282-6730,Proprietary  ,15,51,66,40,131,171
02065300,PRESCOTT COLLEGE                        ,AZ,86301-0000,Private      ,44,197,241,420,844,1264
02098800,UNIVERSITY OF PHOENIX                   ,AZ,85040-0000,Proprietary  ,3573,73184,76757,10062,183725,193787
02100500,UNIVERSAL TECHNICAL INSTITUTE           ,AZ,85027-0000,Proprietary  ,1396,1658,3054,11603,9751,21354
02100600,CARRINGTON COLLEGE                      ,AZ,85015-4096,Proprietary  ,475,1241,1716,1427,3893,5320
02113800,ROBERTO-VENN SCH OF LUTHIERY            ,AZ,85040-0000,Proprietary  ,8,12,20,30,44,74
02146600,SOUTH MOUNTAIN COMMUNITY COLLEGE        ,AZ,85040-0000,Public       ,606,1113,1719,2565,3660,6225
02160305,COLLINS COLLEGE                         ,AZ,85040-4000,Proprietary  ,13,52,65,66,184,250
02160306,INTERNATIONAL ACADEMY OF DESIGN AND TECH,AZ,85281-6705,Proprietary  ,4,17,21,33,78,111
02171500,WESTERN INTERNATIONAL UNIVERSITY        ,AZ,85021-0000,Proprietary  ,14,426,440,73,1118,1191
02177500,RIO SALADO COMMUNITY COLLEGE            ,AZ,85281-6948,Public       ,716,3948,4664,2589,12331,14920
02199900,AMERICAN INDIAN CLG-ASSEMBLIES GOD      ,AZ,85021-0000,Private      ,23,33,56,69,111,180
02217100,PIMA MEDICAL INSTITUTE                  ,AZ,85716-0000,Proprietary  ,1013,2515,3528,3018,7871,10889
02218800,BROOKLINE COLLEGE                       ,AZ,85021-5815,Proprietary  ,108,562,670,330,1787,2117
02218804,BROOKLINE COLLEGE - MESA                ,AZ,85204-4448,Proprietary  ,60,208,268,176,606,782
02218805,BROOKLINE COLLEGE - TUCSON              ,AZ,85711-5444,Proprietary  ,42,222,264,168,605,773
02263100,ANTHEM COLLEGE                          ,AZ,85014-4973,Proprietary  ,15,78,93,98,270,368
02280500,CHARLES OF ITALY BEAUTY COLLEGE         ,AZ,86403-0000,Proprietary  ,9,23,32,34,83,117
02295000,EVEREST COLLEGE                         ,AZ,85021-1610,Proprietary  ,22,163,185,242,2263,2505
02295002,EVEREST COLLEGE - MESA                  ,AZ,85206-4704,Proprietary  ,11,115,126,100,590,690
02306807,ARIZONA AUTOMOTIVE INSTITUTE            ,AZ,85301-3503,Proprietary  ,185,392,577,470,1200,1670
02317800,AMERICAN INSTITUTE OF TECHNOLOGY        ,AZ,85043-0000,Proprietary  ,40,365,405,180,850,1030
02491500,SOUTHWEST UNIVERSITY OF VISUAL ARTS     ,AZ,85716-0000,Proprietary  ,53,113,166,160,229,389
