OPE ID,School,State,Zip Code,School Type,20122013Qtr1_Dependent Students,20122013Qtr1_Independent Students,Quarterly Total,YTD_20122013Qtr1_Dependent Students,YTD_20122013Qtr1_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,4188,1411,5599,4188,1411,5599
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,1165,1555,2720,1165,1555,2720
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,1383,645,2028,1383,645,2028
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,5628,2273,7901,5628,2273,7901
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,770,588,1358,770,588,1358
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,333,1215,1548,333,1215,1548
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,13687,3135,16822,13687,3135,16822
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,1419,321,1740,1419,321,1740
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1913,2585,4498,1913,2585,4498
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,530,522,1052,530,522,1052
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,2821,1096,3917,2821,1096,3917
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1393,1885,3278,1393,1885,3278
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,866,1217,2083,866,1217,2083
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,910,289,1199,910,289,1199
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,4239,2101,6340,4239,2101,6340
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,218,232,450,218,232,450
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1707,2834,4541,1707,2834,4541
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,195,59,254,195,59,254
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,1333,1604,2937,1333,1604,2937
