OPE ID,School,State,Zip Code,School Type,20092010Qtr2_Dependent Students,20092010Qtr2_Independent Students,Quarterly Total,YTD_20092010Qtr2_Dependent Students,YTD_20092010Qtr2_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,1559,949,2508,4491,1899,6390
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,531,1385,1916,1045,2375,3420
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,632,458,1090,1540,799,2339
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2352,1545,3897,6218,2902,9120
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,287,673,960,840,1081,1921
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,225,1021,1246,422,1780,2202
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,3144,1693,4837,12374,3983,16357
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,346,102,448,1606,225,1831
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1343,2340,3683,2841,4225,7066
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,337,554,891,697,892,1589
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1361,906,2267,3232,1534,4766
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,934,1721,2655,1885,2944,4829
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,574,1132,1706,1114,1780,2894
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,313,152,465,848,299,1147
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,1765,1608,3373,4714,3126,7840
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,205,281,486,358,492,850
