OPE ID,School,State,Zip Code,School Type,20092010Qtr4_Dependent Students,20092010Qtr4_Independent Students,Quarterly Total,YTD_20092010Qtr4_Dependent Students,YTD_20092010Qtr4_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,132,227,359,5437,3002,8439
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,66,317,383,1389,3683,5072
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,74,122,196,1917,1251,3168
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,237,338,575,7519,4568,12087
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,115,356,471,1281,2153,3434
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,44,301,345,604,2956,3560
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,463,355,818,14178,5359,19537
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,44,39,83,1831,361,2192
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,426,1070,1496,4315,7321,11636
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,101,267,368,1165,1773,2938
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,164,267,431,4070,2506,6576
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,278,940,1218,2976,5725,8701
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,145,560,705,1825,3787,5612
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,28,57,85,1038,494,1532
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,215,490,705,5823,5067,10890
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,43,140,183,608,1029,1637
