OPE ID,School,State,Zip Code,School Type,20092010Qtr3_Dependent Students,20092010Qtr3_Independent Students,Quarterly Total,YTD_20092010Qtr3_Dependent Students,YTD_20092010Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,814,876,1690,5305,2775,8080
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,278,991,1269,1323,3366,4689
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,303,330,633,1843,1129,2972
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1064,1328,2392,7282,4230,11512
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,326,716,1042,1166,1797,2963
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,138,875,1013,560,2655,3215
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1341,1021,2362,13715,5004,18719
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,181,97,278,1787,322,2109
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1048,2026,3074,3889,6251,10140
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,367,614,981,1064,1506,2570
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,674,705,1379,3906,2239,6145
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,813,1841,2654,2698,4785,7483
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,566,1447,2013,1680,3227,4907
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,162,138,300,1010,437,1447
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,894,1451,2345,5608,4577,10185
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,207,397,604,565,889,1454
