OPE ID,School,State,Zip Code,School Type,20122013Qtr3_Dependent Students,20122013Qtr3_Independent Students,Quarterly Total,YTD_20122013Qtr3_Dependent Students,YTD_20122013Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,889,898,1787,6803,3424,10227
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,311,1143,1454,1994,4279,6273
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,338,361,699,2425,1527,3952
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1390,1543,2933,9699,5815,15514
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,383,750,1133,1510,1954,3464
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,166,835,1001,883,3421,4304
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1714,1194,2908,19171,6417,25588
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,238,217,455,2148,843,2991
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1237,2278,3515,4997,7887,12884
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,290,566,856,1189,1782,2971
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,828,788,1616,5383,3042,8425
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,962,1915,2877,3373,5856,9229
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,611,1422,2033,2217,4131,6348
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,197,221,418,1604,783,2387
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,1026,1478,2504,7334,5666,13000
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,146,271,417,569,820,1389
