GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,YEAR.id,ESTAB,RCPTOT,OPEX,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS code,Meaning of 2007 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,"Sales, receipts, or revenue from administrative records (%)","Sales, receipts, or revenue estimated (%)"
0100000US,,United States,,61,Educational services,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61,Educational services,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611,Educational services,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611,Educational services,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6114,Business schools and computer and management training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6114,Business schools and computer and management training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61141,Business and secretarial schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61141,Business and secretarial schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611410,Business and secretarial schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611410,Business and secretarial schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61142,Computer training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61142,Computer training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611420,Computer training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611420,Computer training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61143,Professional and management development training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61143,Professional and management development training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611430,Professional and management development training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611430,Professional and management development training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6115,Technical and trade schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6115,Technical and trade schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61151,Technical and trade schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61151,Technical and trade schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611511,Cosmetology and barber schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611511,Cosmetology and barber schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611512,Flight training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611512,Flight training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611513,Apprenticeship training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611513,Apprenticeship training,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611519,Other technical and trade schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611519,Other technical and trade schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6115191,Technical and trade schools ,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6115191,Technical and trade schools ,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6115192,Computer repair training,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6115192,Computer repair training,,T,Establishments subject to federal income tax,2007,,E$D,E$N,E$D,E$D,E$e,E$D,E$D
0100000US,,United States,,6115192,Computer repair training,,Y,Establishments exempt from federal income tax,2007,,E$D,E$D,E$D,E$D,E$b,E$D,E$D
0100000US,,United States,,6115193,Truck driving schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6115193,Truck driving schools,,T,Establishments subject to federal income tax,2007,,E$D,E$N,E$D,E$D,E$h,E$D,E$D
0100000US,,United States,,6115193,Truck driving schools,,Y,Establishments exempt from federal income tax,2007,,E$D,E$D,E$D,E$D,E$b,E$D,E$D
0100000US,,United States,,6116,Other schools and instruction,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6116,Other schools and instruction,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61161,Fine arts schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61161,Fine arts schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611610,Fine arts schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611610,Fine arts schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6116101,Dance schools (including children's and professionals'),,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6116101,Dance schools (including children's and professionals'),,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6116102,"Art, drama, and music schools",,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6116102,"Art, drama, and music schools",,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61162,Sports and recreation instruction,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61162,Sports and recreation instruction,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611620,Sports and recreation instruction,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611620,Sports and recreation instruction,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61163,Language schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61163,Language schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611630,Language schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611630,Language schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61169,All other schools and instruction,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61169,All other schools and instruction,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611691,Exam preparation and tutoring,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611691,Exam preparation and tutoring,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611692,Automobile driving schools,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611692,Automobile driving schools,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611699,All other miscellaneous schools and instruction,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611699,All other miscellaneous schools and instruction,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6117,Educational support services,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6117,Educational support services,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,61171,Educational support services,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,61171,Educational support services,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,611710,Educational support services,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,611710,Educational support services,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6117101,Educational support services ,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6117101,Educational support services ,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
0100000US,,United States,,6117102,Educational test development and evaluation services,,A,All establishments,2007,,,E$N,,,,,
0100000US,,United States,,6117102,Educational test development and evaluation services,,T,Establishments subject to federal income tax,2007,,,E$N,,,,,
