,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,37.2,2959.0,307.0,56250.0,21788.0,"Aleutians East Borough, Alaska",013,02,2009
1,40.8,5505.0,543.0,72989.0,34966.0,"Aleutians West Census Area, Alaska",016,02,2009
2,32.2,280389.0,21466.0,70151.0,33436.0,"Anchorage Municipality, Alaska",020,02,2009
3,26.2,17151.0,3081.0,53120.0,18169.0,"Bethel Census Area, Alaska",050,02,2009
4,36.0,682.0,38.0,62500.0,28662.0,"Bristol Bay Borough, Alaska",060,02,2009
5,42.9,1529.0,68.0,76250.0,44689.0,"Denali Borough, Alaska",068,02,2009
6,29.6,4946.0,905.0,60466.0,23324.0,"Dillingham Census Area, Alaska",070,02,2009
7,29.1,96843.0,7359.0,65121.0,28373.0,"Fairbanks North Star Borough, Alaska",090,02,2009
8,47.6,2424.0,111.0,44284.0,28843.0,"Haines Borough, Alaska",100,02,2009
9,43.3,2042.0,237.0,43208.0,23169.0,"Hoonah-Angoon Census Area, Alaska",105,02,2009
10,37.6,30777.0,2014.0,76437.0,34880.0,"Juneau City and Borough, Alaska",110,02,2009
11,39.7,53052.0,5003.0,55966.0,26940.0,"Kenai Peninsula Borough, Alaska",122,02,2009
12,38.2,13132.0,1217.0,57500.0,29867.0,"Ketchikan Gateway Borough, Alaska",130,02,2009
13,32.5,13147.0,1352.0,59655.0,26862.0,"Kodiak Island Borough, Alaska",150,02,2009
14,24.8,1399.0,307.0,41458.0,16450.0,"Lake and Peninsula Borough, Alaska",164,02,2009
15,34.1,82099.0,8300.0,66052.0,24906.0,"Matanuska-Susitna Borough, Alaska",170,02,2009
16,27.1,9339.0,2013.0,55766.0,20452.0,"Nome Census Area, Alaska",180,02,2009
17,26.0,6716.0,984.0,66556.0,24125.0,"North Slope Borough, Alaska",185,02,2009
18,25.3,7430.0,1421.0,57885.0,20001.0,"Northwest Arctic Borough, Alaska",188,02,2009
19,42.6,3862.0,382.0,61115.0,29679.0,"Petersburg Census Area, Alaska",195,02,2009
20,37.9,5572.0,729.0,45889.0,23915.0,"Prince of Wales-Hyder Census Area, Alaska",198,02,2009
21,38.5,8811.0,577.0,58895.0,30013.0,"Sitka City and Borough, Alaska",220,02,2009
