,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,29.3,250699.0,53738.0,43844.0,18041.0,"Merced County, California",047,06,2010
1,45.4,9605.0,1709.0,34588.0,20536.0,"Modoc County, California",049,06,2010
2,36.5,13905.0,1664.0,55087.0,27321.0,"Mono County, California",051,06,2010
3,32.8,407435.0,54276.0,59271.0,25776.0,"Monterey County, California",053,06,2010
4,39.4,134051.0,12948.0,67389.0,34310.0,"Napa County, California",055,06,2010
5,46.8,98186.0,8740.0,57121.0,30727.0,"Nevada County, California",057,06,2010
6,35.7,2965525.0,296846.0,74344.0,34017.0,"Orange County, California",059,06,2010
7,39.8,336477.0,22090.0,74447.0,35680.0,"Placer County, California",061,06,2010
8,48.5,20392.0,2437.0,44000.0,28732.0,"Plumas County, California",063,06,2010
9,33.4,2109464.0,278358.0,57768.0,24431.0,"Riverside County, California",065,06,2010
10,34.6,1395144.0,190768.0,56439.0,26953.0,"Sacramento County, California",067,06,2010
11,33.7,54492.0,6323.0,65771.0,25508.0,"San Benito County, California",069,06,2010
12,31.2,2005287.0,291020.0,55845.0,21867.0,"San Bernardino County, California",071,06,2010
13,34.5,3022468.0,361248.0,63069.0,30715.0,"San Diego County, California",073,06,2010
14,38.3,789172.0,92600.0,71304.0,45478.0,"San Francisco County, California",075,06,2010
15,32.3,673613.0,105502.0,54341.0,22851.0,"San Joaquin County, California",077,06,2010
16,39.0,265577.0,32183.0,57365.0,29790.0,"San Luis Obispo County, California",079,06,2010
17,39.0,704327.0,48744.0,85648.0,43958.0,"San Mateo County, California",081,06,2010
18,33.6,416051.0,57463.0,60078.0,29731.0,"Santa Barbara County, California",083,06,2010
19,35.8,1739396.0,152066.0,86850.0,39804.0,"Santa Clara County, California",085,06,2010
20,36.6,256901.0,31445.0,65253.0,32862.0,"Santa Cruz County, California",087,06,2010
21,41.3,176906.0,28772.0,43944.0,23772.0,"Shasta County, California",089,06,2010
22,50.8,3366.0,365.0,52950.0,27389.0,"Sierra County, California",091,06,2010
23,46.5,44690.0,7487.0,36981.0,22179.0,"Siskiyou County, California",093,06,2010
