,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,37.0,54590.0,6267.0,53773.0,25253.0,"Autauga County, Alabama",001,01,2012
1,41.2,183226.0,24002.0,50706.0,26769.0,"Baldwin County, Alabama",003,01,2012
2,38.2,27469.0,6395.0,31889.0,16532.0,"Barbour County, Alabama",005,01,2012
3,39.4,22769.0,3594.0,36824.0,17611.0,"Bibb County, Alabama",007,01,2012
4,39.1,57466.0,8396.0,45192.0,21155.0,"Blount County, Alabama",009,01,2012
5,40.7,10779.0,2286.0,34500.0,19822.0,"Bullock County, Alabama",011,01,2012
6,40.3,20730.0,5256.0,30752.0,17564.0,"Butler County, Alabama",013,01,2012
7,38.7,117834.0,24597.0,40093.0,20881.0,"Calhoun County, Alabama",015,01,2012
8,41.4,34228.0,7863.0,32181.0,18478.0,"Chambers County, Alabama",017,01,2012
9,44.3,25917.0,4956.0,36241.0,22472.0,"Cherokee County, Alabama",019,01,2012
10,37.6,43611.0,8020.0,40834.0,21132.0,"Chilton County, Alabama",021,01,2012
11,44.0,13838.0,2758.0,35123.0,19354.0,"Choctaw County, Alabama",023,01,2012
12,39.9,25768.0,6737.0,30954.0,19563.0,"Clarke County, Alabama",025,01,2012
13,41.7,13828.0,2680.0,34556.0,18136.0,"Clay County, Alabama",027,01,2012
14,41.2,14905.0,2650.0,37244.0,19049.0,"Cleburne County, Alabama",029,01,2012
15,37.8,49966.0,8438.0,44626.0,23441.0,"Coffee County, Alabama",031,01,2012
16,41.7,54451.0,8735.0,40158.0,22186.0,"Colbert County, Alabama",033,01,2012
17,43.3,13188.0,3982.0,27064.0,16648.0,"Conecuh County, Alabama",035,01,2012
18,44.4,11305.0,2223.0,37425.0,18855.0,"Coosa County, Alabama",037,01,2012
19,42.5,37803.0,7780.0,35321.0,20153.0,"Covington County, Alabama",039,01,2012
20,40.3,13971.0,2544.0,37309.0,21480.0,"Crenshaw County, Alabama",041,01,2012
21,40.1,80403.0,14723.0,39244.0,20653.0,"Cullman County, Alabama",043,01,2012
22,36.0,50129.0,7748.0,45247.0,22707.0,"Dale County, Alabama",045,01,2012
23,37.3,43572.0,15733.0,26178.0,16907.0,"Dallas County, Alabama",047,01,2012
24,37.9,70949.0,13701.0,36853.0,18494.0,"DeKalb County, Alabama",049,01,2012
25,37.7,79330.0,9539.0,55514.0,24007.0,"Elmore County, Alabama",051,01,2012
26,38.7,38122.0,8849.0,31075.0,16294.0,"Escambia County, Alabama",053,01,2012
27,40.2,104317.0,19212.0,37660.0,20672.0,"Etowah County, Alabama",055,01,2012
28,43.1,17219.0,3232.0,33090.0,18675.0,"Fayette County, Alabama",057,01,2012
29,38.3,31664.0,6188.0,37235.0,19282.0,"Franklin County, Alabama",059,01,2012
