,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,37.9,55136.0,7006.0,52475.0,24644.0,"Autauga County, Alabama",001,01,2014
1,41.8,191205.0,25988.0,50183.0,26851.0,"Baldwin County, Alabama",003,01,2014
2,38.3,27119.0,5832.0,35634.0,17350.0,"Barbour County, Alabama",005,01,2014
3,40.0,22653.0,3596.0,37984.0,18110.0,"Bibb County, Alabama",007,01,2014
4,40.2,57645.0,9866.0,44409.0,20501.0,"Blount County, Alabama",009,01,2014
5,38.5,10693.0,2085.0,34804.0,17706.0,"Bullock County, Alabama",011,01,2014
6,40.5,20523.0,5239.0,31571.0,18115.0,"Butler County, Alabama",013,01,2014
7,38.8,117186.0,24794.0,40919.0,21306.0,"Calhoun County, Alabama",015,01,2014
8,43.1,34091.0,8051.0,32835.0,21240.0,"Chambers County, Alabama",017,01,2014
9,45.2,26042.0,5370.0,34983.0,22234.0,"Cherokee County, Alabama",019,01,2014
10,38.3,43781.0,8128.0,41785.0,21718.0,"Chilton County, Alabama",021,01,2014
11,44.6,13546.0,2867.0,34325.0,21268.0,"Choctaw County, Alabama",023,01,2014
12,41.1,25331.0,6757.0,30951.0,20022.0,"Clarke County, Alabama",025,01,2014
13,43.6,13617.0,2481.0,35286.0,18957.0,"Clay County, Alabama",027,01,2014
14,41.3,14990.0,2691.0,37008.0,19736.0,"Cleburne County, Alabama",029,01,2014
15,38.2,50726.0,9403.0,45558.0,24204.0,"Coffee County, Alabama",031,01,2014
16,42.3,54491.0,9860.0,39914.0,21763.0,"Colbert County, Alabama",033,01,2014
17,43.6,12985.0,4256.0,24433.0,15441.0,"Conecuh County, Alabama",035,01,2014
18,44.8,11247.0,2190.0,32340.0,17749.0,"Coosa County, Alabama",037,01,2014
19,42.6,37881.0,7479.0,36256.0,20941.0,"Covington County, Alabama",039,01,2014
20,41.0,13938.0,2358.0,37349.0,20366.0,"Crenshaw County, Alabama",041,01,2014
21,40.5,80668.0,14354.0,39415.0,21105.0,"Cullman County, Alabama",043,01,2014
22,36.6,50013.0,9114.0,44473.0,22368.0,"Dale County, Alabama",045,01,2014
23,37.9,42743.0,15163.0,26494.0,17614.0,"Dallas County, Alabama",047,01,2014
24,38.8,71074.0,14128.0,37977.0,18416.0,"DeKalb County, Alabama",049,01,2014
25,37.6,80321.0,9700.0,54159.0,24185.0,"Elmore County, Alabama",051,01,2014
26,39.4,38042.0,9309.0,31422.0,16673.0,"Escambia County, Alabama",053,01,2014
27,40.5,104126.0,20059.0,38467.0,20445.0,"Etowah County, Alabama",055,01,2014
28,43.4,17019.0,3492.0,33144.0,19040.0,"Fayette County, Alabama",057,01,2014
29,38.5,31663.0,7601.0,35450.0,18559.0,"Franklin County, Alabama",059,01,2014
30,41.9,26816.0,5983.0,36268.0,20027.0,"Geneva County, Alabama",061,01,2014
31,42.5,8798.0,3204.0,22170.0,13956.0,"Greene County, Alabama",063,01,2014
32,40.6,15393.0,4213.0,30839.0,18774.0,"Hale County, Alabama",065,01,2014
33,43.1,17270.0,2526.0,42926.0,22682.0,"Henry County, Alabama",067,01,2014
34,38.7,103079.0,18730.0,41077.0,23492.0,"Houston County, Alabama",069,01,2014
35,42.1,53012.0,9567.0,36874.0,20055.0,"Jackson County, Alabama",071,01,2014
36,37.4,658834.0,120510.0,45239.0,26896.0,"Jefferson County, Alabama",073,01,2014
37,42.6,14268.0,3195.0,36021.0,19094.0,"Lamar County, Alabama",075,01,2014
38,40.9,92780.0,16944.0,42703.0,23975.0,"Lauderdale County, Alabama",077,01,2014
