,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,36.4,53944.0,5830.0,53899.0,25035.0,"Autauga County, Alabama",001,01,2011
1,41.4,179523.0,22095.0,51321.0,27217.0,"Baldwin County, Alabama",003,01,2011
2,38.3,27546.0,6083.0,34041.0,15899.0,"Barbour County, Alabama",005,01,2011
3,39.1,22746.0,3453.0,40506.0,18462.0,"Bibb County, Alabama",007,01,2011
4,38.8,57140.0,7773.0,45404.0,21185.0,"Blount County, Alabama",009,01,2011
5,41.2,10877.0,2720.0,31955.0,20678.0,"Bullock County, Alabama",011,01,2011
6,40.0,20860.0,5288.0,31273.0,17091.0,"Butler County, Alabama",013,01,2011
7,38.4,117614.0,23432.0,39467.0,20903.0,"Calhoun County, Alabama",015,01,2011
8,40.6,34375.0,7108.0,32186.0,17705.0,"Chambers County, Alabama",017,01,2011
9,44.2,25819.0,5263.0,37833.0,21673.0,"Cherokee County, Alabama",019,01,2011
10,37.3,43444.0,7471.0,40418.0,20826.0,"Chilton County, Alabama",021,01,2011
11,43.6,13953.0,2826.0,32188.0,18201.0,"Choctaw County, Alabama",023,01,2011
12,39.7,26046.0,7027.0,29668.0,18471.0,"Clarke County, Alabama",025,01,2011
13,41.7,14010.0,2563.0,35410.0,18284.0,"Clay County, Alabama",027,01,2011
14,40.6,14881.0,2469.0,38785.0,18881.0,"Cleburne County, Alabama",029,01,2011
15,37.7,49221.0,8578.0,42065.0,22953.0,"Coffee County, Alabama",031,01,2011
16,41.7,54478.0,8877.0,40247.0,21693.0,"Colbert County, Alabama",033,01,2011
17,43.1,13286.0,3693.0,27977.0,16673.0,"Conecuh County, Alabama",035,01,2011
18,43.7,11303.0,2056.0,37191.0,19966.0,"Coosa County, Alabama",037,01,2011
19,42.1,37736.0,8013.0,33544.0,20246.0,"Covington County, Alabama",039,01,2011
20,39.7,13938.0,2329.0,38041.0,21993.0,"Crenshaw County, Alabama",041,01,2011
21,39.9,80246.0,13914.0,38703.0,20621.0,"Cullman County, Alabama",043,01,2011
22,36.0,49920.0,7466.0,45491.0,22326.0,"Dale County, Alabama",045,01,2011
23,36.9,43868.0,15053.0,26909.0,17259.0,"Dallas County, Alabama",047,01,2011
24,37.3,70608.0,13830.0,36853.0,18788.0,"DeKalb County, Alabama",049,01,2011
25,37.6,78641.0,8987.0,54831.0,23828.0,"Elmore County, Alabama",051,01,2011
26,38.6,38081.0,8363.0,31638.0,16509.0,"Escambia County, Alabama",053,01,2011
27,39.9,104216.0,18400.0,37772.0,20818.0,"Etowah County, Alabama",055,01,2011
28,42.7,17361.0,3362.0,33378.0,18336.0,"Fayette County, Alabama",057,01,2011
29,38.5,31532.0,6253.0,35831.0,18715.0,"Franklin County, Alabama",059,01,2011
30,41.8,26646.0,5022.0,35237.0,20120.0,"Geneva County, Alabama",061,01,2011
31,41.5,9170.0,2897.0,23004.0,15210.0,"Greene County, Alabama",063,01,2011
32,39.5,15972.0,4058.0,29236.0,16480.0,"Hale County, Alabama",065,01,2011
33,42.5,17240.0,2586.0,39948.0,20079.0,"Henry County, Alabama",067,01,2011
34,38.2,100310.0,16940.0,41766.0,23152.0,"Houston County, Alabama",069,01,2011
35,41.5,53357.0,9039.0,36383.0,19770.0,"Jackson County, Alabama",071,01,2011
36,37.0,657486.0,104174.0,45750.0,26962.0,"Jefferson County, Alabama",073,01,2011
37,42.6,14644.0,2760.0,34711.0,20865.0,"Lamar County, Alabama",075,01,2011
38,40.3,92269.0,15695.0,39702.0,22692.0,"Lauderdale County, Alabama",077,01,2011
39,40.4,34250.0,4893.0,40009.0,19676.0,"Lawrence County, Alabama",079,01,2011
40,28.9,137855.0,26212.0,42320.0,23015.0,"Lee County, Alabama",081,01,2011
41,38.7,80966.0,10641.0,47199.0,24157.0,"Limestone County, Alabama",083,01,2011
42,40.2,11538.0,3128.0,27905.0,17671.0,"Lowndes County, Alabama",085,01,2011
43,35.8,21489.0,5100.0,29355.0,16763.0,"Macon County, Alabama",087,01,2011
44,37.1,329299.0,39793.0,57453.0,30708.0,"Madison County, Alabama",089,01,2011
45,40.2,21130.0,4341.0,35165.0,19075.0,"Marengo County, Alabama",091,01,2011
46,42.0,30771.0,6040.0,31799.0,18358.0,"Marion County, Alabama",093,01,2011
47,38.2,92052.0,17887.0,38563.0,20590.0,"Marshall County, Alabama",095,01,2011
48,36.4,410520.0,77088.0,42187.0,22306.0,"Mobile County, Alabama",097,01,2011
49,40.0,23159.0,6167.0,29849.0,17408.0,"Monroe County, Alabama",099,01,2011
50,34.6,228939.0,43269.0,44587.0,24991.0,"Montgomery County, Alabama",101,01,2011
51,38.6,118521.0,17393.0,45564.0,23552.0,"Morgan County, Alabama",103,01,2011
52,37.1,10620.0,2531.0,27222.0,14283.0,"Perry County, Alabama",105,01,2011
53,40.8,19765.0,5389.0,29096.0,16310.0,"Pickens County, Alabama",107,01,2011
54,31.6,32471.0,8273.0,31179.0,19335.0,"Pike County, Alabama",109,01,2011
55,40.3,22838.0,5226.0,35823.0,20147.0,"Randolph County, Alabama",111,01,2011
56,36.4,52490.0,10964.0,33754.0,18233.0,"Russell County, Alabama",113,01,2011
57,38.2,82363.0,10719.0,49200.0,22974.0,"St. Clair County, Alabama",115,01,2011
58,36.8,191705.0,13692.0,68883.0,34226.0,"Shelby County, Alabama",117,01,2011
59,36.3,13758.0,5125.0,21964.0,14122.0,"Sumter County, Alabama",119,01,2011
60,39.2,82265.0,17089.0,36609.0,18882.0,"Talladega County, Alabama",121,01,2011
61,41.3,41614.0,6995.0,39423.0,22792.0,"Tallapoosa County, Alabama",123,01,2011
62,31.3,191489.0,36319.0,43538.0,22449.0,"Tuscaloosa County, Alabama",125,01,2011
63,41.2,67308.0,13008.0,37161.0,20881.0,"Walker County, Alabama",127,01,2011
64,39.0,17487.0,3008.0,40286.0,19836.0,"Washington County, Alabama",129,01,2011
65,37.8,11862.0,4242.0,23750.0,12683.0,"Wilcox County, Alabama",131,01,2011
66,42.6,24593.0,5107.0,32557.0,18568.0,"Winston County, Alabama",133,01,2011
67,39.3,3084.0,603.0,57083.0,24387.0,"Aleutians East Borough, Alaska",013,02,2011
68,41.5,5488.0,606.0,75179.0,31188.0,"Aleutians West Census Area, Alaska",016,02,2011
69,33.0,287390.0,22045.0,75485.0,35580.0,"Anchorage Municipality, Alaska",020,02,2011
70,25.9,16973.0,3299.0,52063.0,18392.0,"Bethel Census Area, Alaska",050,02,2011
71,41.9,1035.0,62.0,80000.0,35981.0,"Bristol Bay Borough, Alaska",060,02,2011
72,42.8,1770.0,144.0,82898.0,38804.0,"Denali Borough, Alaska",068,02,2011
73,29.1,4845.0,948.0,57681.0,22603.0,"Dillingham Census Area, Alaska",070,02,2011
74,30.8,96161.0,7271.0,68922.0,31532.0,"Fairbanks North Star Borough, Alaska",090,02,2011
75,44.0,2519.0,147.0,51667.0,30090.0,"Haines Borough, Alaska",100,02,2011
76,47.0,2029.0,302.0,49545.0,28398.0,"Hoonah-Angoon Census Area, Alaska",105,02,2011
77,38.6,31244.0,1946.0,77465.0,37294.0,"Juneau City and Borough, Alaska",110,02,2011
78,40.8,54718.0,4860.0,59256.0,30256.0,"Kenai Peninsula Borough, Alaska",122,02,2011
79,37.9,13417.0,1234.0,57243.0,29998.0,"Ketchikan Gateway Borough, Alaska",130,02,2011
80,31.9,13488.0,1485.0,66326.0,26720.0,"Kodiak Island Borough, Alaska",150,02,2011
81,31.2,1540.0,323.0,51429.0,21210.0,"Lake and Peninsula Borough, Alaska",164,02,2011
82,34.9,86817.0,8244.0,70343.0,29292.0,"Matanuska-Susitna Borough, Alaska",170,02,2011
83,28.1,9443.0,2296.0,52435.0,20325.0,"Nome Census Area, Alaska",180,02,2011
84,29.2,9088.0,946.0,76667.0,35423.0,"North Slope Borough, Alaska",185,02,2011
85,25.8,7532.0,1465.0,59893.0,21751.0,"Northwest Arctic Borough, Alaska",188,02,2011
86,42.4,3831.0,335.0,64216.0,31279.0,"Petersburg Census Area, Alaska",195,02,2011
87,39.5,5541.0,793.0,45513.0,24902.0,"Prince of Wales-Hyder Census Area, Alaska",198,02,2011
88,38.8,8879.0,590.0,69798.0,32451.0,"Sitka City and Borough, Alaska",220,02,2011
89,40.4,1105.0,90.0,73000.0,36108.0,"Skagway Municipality, Alaska",230,02,2011
90,36.5,7000.0,713.0,59917.0,29014.0,"Southeast Fairbanks Census Area, Alaska",240,02,2011
91,40.1,9596.0,631.0,62238.0,31029.0,"Valdez-Cordova Census Area, Alaska",261,02,2011
92,21.7,7473.0,2229.0,39583.0,11476.0,"Wade Hampton Census Area, Alaska",270,02,2011
93,44.1,2353.0,203.0,50000.0,29643.0,"Wrangell City and Borough, Alaska",275,02,2011
94,39.4,731.0,21.0,74844.0,37556.0,"Yakutat City and Borough, Alaska",282,02,2011
95,35.3,5613.0,1280.0,35335.0,19923.0,"Yukon-Koyukuk Census Area, Alaska",290,02,2011
96,31.9,70906.0,24120.0,31011.0,12626.0,"Apache County, Arizona",001,04,2011
97,39.8,130464.0,19996.0,45906.0,23296.0,"Cochise County, Arizona",003,04,2011
98,30.8,132978.0,24988.0,49615.0,22607.0,"Coconino County, Arizona",005,04,2011
99,47.3,53380.0,10906.0,37905.0,20098.0,"Gila County, Arizona",007,04,2011
100,31.7,36720.0,7088.0,43083.0,16116.0,"Graham County, Arizona",009,04,2011
101,35.0,8472.0,1445.0,49390.0,20366.0,"Greenlee County, Arizona",011,04,2011
102,52.8,20521.0,3937.0,32220.0,21358.0,"La Paz County, Arizona",012,04,2011
103,34.4,3798374.0,557410.0,55099.0,27841.0,"Maricopa County, Arizona",013,04,2011
104,46.8,200690.0,32928.0,40573.0,21457.0,"Mohave County, Arizona",015,04,2011
105,34.3,107418.0,27412.0,38975.0,17004.0,"Navajo County, Arizona",017,04,2011
106,37.5,974181.0,164932.0,46341.0,25477.0,"Pima County, Arizona",019,04,2011
107,35.6,351709.0,46508.0,51212.0,21419.0,"Pinal County, Arizona",021,04,2011
108,35.0,46727.0,12149.0,38092.0,17577.0,"Santa Cruz County, Arizona",023,04,2011
109,48.6,210838.0,31007.0,44084.0,26028.0,"Yavapai County, Arizona",025,04,2011
