,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
1839,42.5,92974.0,16425.0,38567.0,21102.0,"Rockingham County, North Carolina",157,37,2013
1840,39.5,138265.0,25106.0,41495.0,20912.0,"Rowan County, North Carolina",159,37,2013
1841,42.6,67403.0,14188.0,36334.0,19551.0,"Rutherford County, North Carolina",161,37,2013
1842,38.5,63687.0,14337.0,36496.0,19479.0,"Sampson County, North Carolina",163,37,2013
1843,38.2,36201.0,11097.0,29592.0,15679.0,"Scotland County, North Carolina",165,37,2013
1844,41.1,60529.0,9396.0,42518.0,20504.0,"Stanly County, North Carolina",167,37,2013
1845,43.4,47063.0,7364.0,42703.0,21311.0,"Stokes County, North Carolina",169,37,2013
1846,41.6,73486.0,14383.0,35641.0,20219.0,"Surry County, North Carolina",171,37,2013
1847,40.6,14017.0,3731.0,36094.0,19626.0,"Swain County, North Carolina",173,37,2013
1848,49.7,32894.0,4557.0,41781.0,23757.0,"Transylvania County, North Carolina",175,37,2013
1849,42.3,4272.0,757.0,34216.0,16658.0,"Tyrrell County, North Carolina",177,37,2013
1850,36.6,205426.0,19133.0,65892.0,28894.0,"Union County, North Carolina",179,37,2013
1851,38.9,45120.0,12433.0,34987.0,17905.0,"Vance County, North Carolina",181,37,2013
1852,34.8,929214.0,99679.0,66006.0,33166.0,"Wake County, North Carolina",183,37,2013
1853,45.1,20792.0,5250.0,34285.0,19052.0,"Warren County, North Carolina",185,37,2013
1854,44.3,12958.0,3040.0,34936.0,18779.0,"Washington County, North Carolina",187,37,2013
1855,28.8,51557.0,14420.0,34293.0,21854.0,"Watauga County, North Carolina",189,37,2013
1856,36.7,123382.0,26555.0,41731.0,21557.0,"Wayne County, North Carolina",191,37,2013
1857,42.9,69184.0,15497.0,33159.0,19029.0,"Wilkes County, North Carolina",193,37,2013
1858,39.1,81365.0,18512.0,39204.0,20972.0,"Wilson County, North Carolina",195,37,2013
1859,42.1,38217.0,7001.0,40371.0,22726.0,"Yadkin County, North Carolina",197,37,2013
1860,45.7,17724.0,3513.0,38579.0,20257.0,"Yancey County, North Carolina",199,37,2013
1861,50.2,2328.0,224.0,47798.0,31502.0,"Adams County, North Dakota",001,38,2013
1862,43.8,11085.0,976.0,50274.0,31721.0,"Barnes County, North Dakota",003,38,2013
1863,31.7,6721.0,2384.0,36491.0,18162.0,"Benson County, North Dakota",005,38,2013
1864,48.2,876.0,74.0,57083.0,37972.0,"Billings County, North Dakota",007,38,2013
1865,47.1,6529.0,687.0,51667.0,31969.0,"Bottineau County, North Dakota",009,38,2013
1866,45.5,3168.0,252.0,56964.0,32045.0,"Bowman County, North Dakota",011,38,2013
1867,39.9,2094.0,260.0,53693.0,32908.0,"Burke County, North Dakota",013,38,2013
1868,36.9,83906.0,6684.0,61811.0,32876.0,"Burleigh County, North Dakota",015,38,2013
1869,31.7,154080.0,19486.0,52590.0,30529.0,"Cass County, North Dakota",017,38,2013
1870,50.8,3952.0,187.0,55904.0,32028.0,"Cavalier County, North Dakota",019,38,2013
1871,42.8,5264.0,477.0,47359.0,24644.0,"Dickey County, North Dakota",021,38,2013
1872,52.9,2155.0,177.0,55057.0,36303.0,"Divide County, North Dakota",023,38,2013
1873,42.9,3786.0,374.0,60500.0,33788.0,"Dunn County, North Dakota",025,38,2013
1874,48.7,2382.0,315.0,44250.0,27323.0,"Eddy County, North Dakota",027,38,2013
1875,51.2,3521.0,517.0,38477.0,27690.0,"Emmons County, North Dakota",029,38,2013
1876,46.1,3355.0,364.0,50677.0,33063.0,"Foster County, North Dakota",031,38,2013
1877,42.3,1698.0,203.0,36100.0,26113.0,"Golden Valley County, North Dakota",033,38,2013
1878,29.5,67357.0,10042.0,46745.0,27026.0,"Grand Forks County, North Dakota",035,38,2013
1879,51.1,2372.0,329.0,41694.0,28129.0,"Grant County, North Dakota",037,38,2013
1880,54.3,2370.0,160.0,45542.0,27197.0,"Griggs County, North Dakota",039,38,2013
1881,49.0,2539.0,258.0,47743.0,27910.0,"Hettinger County, North Dakota",041,38,2013
1882,48.5,2429.0,251.0,50000.0,28904.0,"Kidder County, North Dakota",043,38,2013
1883,49.4,4136.0,351.0,53691.0,31989.0,"LaMoure County, North Dakota",045,38,2013
1884,49.7,1966.0,193.0,49076.0,27887.0,"Logan County, North Dakota",047,38,2013
1885,45.0,5593.0,782.0,45343.0,28331.0,"McHenry County, North Dakota",049,38,2013
1886,52.3,2791.0,368.0,36066.0,25427.0,"McIntosh County, North Dakota",051,38,2013
1887,35.4,7377.0,1000.0,64866.0,33078.0,"McKenzie County, North Dakota",053,38,2013
1888,48.9,9163.0,975.0,53565.0,30992.0,"McLean County, North Dakota",055,38,2013
1889,46.5,8456.0,610.0,66534.0,31767.0,"Mercer County, North Dakota",057,38,2013
1890,39.3,27874.0,2321.0,60065.0,29389.0,"Morton County, North Dakota",059,38,2013
1891,36.0,8280.0,1000.0,68722.0,33803.0,"Mountrail County, North Dakota",061,38,2013
1892,51.8,3101.0,230.0,49839.0,30432.0,"Nelson County, North Dakota",063,38,2013
