,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,37.7,55221.0,7057.0,51281.0,24974.0,"Autauga County, Alabama",001,01,2015
1,42.2,195121.0,25798.0,50254.0,27317.0,"Baldwin County, Alabama",003,01,2015
2,38.8,26932.0,6421.0,32964.0,16824.0,"Barbour County, Alabama",005,01,2015
3,38.9,22604.0,3488.0,38678.0,18431.0,"Bibb County, Alabama",007,01,2015
4,40.7,57710.0,9552.0,45813.0,20532.0,"Blount County, Alabama",009,01,2015
5,39.3,10678.0,2486.0,31938.0,17580.0,"Bullock County, Alabama",011,01,2015
6,40.5,20354.0,5094.0,32229.0,18390.0,"Butler County, Alabama",013,01,2015
7,39.1,116648.0,23325.0,41703.0,21374.0,"Calhoun County, Alabama",015,01,2015
8,43.0,34079.0,7273.0,34177.0,21071.0,"Chambers County, Alabama",017,01,2015
9,45.4,26008.0,4918.0,36296.0,21811.0,"Cherokee County, Alabama",019,01,2015
10,38.8,43819.0,8288.0,41627.0,21399.0,"Chilton County, Alabama",021,01,2015
11,44.9,13395.0,3093.0,33536.0,20755.0,"Choctaw County, Alabama",023,01,2015
12,41.1,25070.0,6107.0,32011.0,20064.0,"Clarke County, Alabama",025,01,2015
13,43.8,13537.0,2201.0,35327.0,18905.0,"Clay County, Alabama",027,01,2015
14,41.3,15002.0,2508.0,38056.0,20151.0,"Cleburne County, Alabama",029,01,2015
15,38.8,50884.0,8581.0,46729.0,24936.0,"Coffee County, Alabama",031,01,2015
16,42.2,54444.0,9406.0,40576.0,22546.0,"Colbert County, Alabama",033,01,2015
17,43.7,12865.0,4320.0,24900.0,15968.0,"Conecuh County, Alabama",035,01,2015
18,45.1,11027.0,2073.0,31212.0,17519.0,"Coosa County, Alabama",037,01,2015
19,42.6,37886.0,7515.0,36444.0,20977.0,"Covington County, Alabama",039,01,2015
20,41.3,13938.0,2288.0,36022.0,20585.0,"Crenshaw County, Alabama",041,01,2015
21,40.5,80965.0,14814.0,38971.0,20881.0,"Cullman County, Alabama",043,01,2015
22,36.8,49866.0,9306.0,45028.0,22566.0,"Dale County, Alabama",045,01,2015
23,38.7,42154.0,14580.0,27306.0,17808.0,"Dallas County, Alabama",047,01,2015
24,39.3,71068.0,13133.0,38192.0,18411.0,"DeKalb County, Alabama",049,01,2015
25,37.9,80763.0,10334.0,53555.0,24381.0,"Elmore County, Alabama",051,01,2015
26,40.3,37935.0,8609.0,32330.0,17045.0,"Escambia County, Alabama",053,01,2015
27,40.8,103766.0,20078.0,39220.0,20500.0,"Etowah County, Alabama",055,01,2015
28,43.2,16896.0,3055.0,34680.0,19545.0,"Fayette County, Alabama",057,01,2015
29,38.8,31634.0,7020.0,35372.0,18595.0,"Franklin County, Alabama",059,01,2015
30,42.2,26815.0,6149.0,36024.0,20224.0,"Geneva County, Alabama",061,01,2015
31,42.4,8697.0,3479.0,20541.0,13611.0,"Greene County, Alabama",063,01,2015
32,40.2,15256.0,4011.0,32714.0,18877.0,"Hale County, Alabama",065,01,2015
33,43.0,17252.0,2657.0,41997.0,22931.0,"Henry County, Alabama",067,01,2015
34,39.0,103534.0,18746.0,41571.0,23925.0,"Houston County, Alabama",069,01,2015
35,42.2,52860.0,9415.0,37745.0,20066.0,"Jackson County, Alabama",071,01,2015
36,37.4,659026.0,121029.0,45610.0,27240.0,"Jefferson County, Alabama",073,01,2015
37,43.7,14133.0,3382.0,35450.0,20130.0,"Lamar County, Alabama",075,01,2015
38,41.1,92737.0,16232.0,43125.0,24215.0,"Lauderdale County, Alabama",077,01,2015
39,41.7,33586.0,6225.0,40003.0,21369.0,"Lawrence County, Alabama",079,01,2015
40,30.3,150982.0,34561.0,44570.0,24356.0,"Lee County, Alabama",081,01,2015
41,39.0,88805.0,12075.0,49570.0,25569.0,"Limestone County, Alabama",083,01,2015
42,39.5,10742.0,3035.0,25876.0,18429.0,"Lowndes County, Alabama",085,01,2015
43,37.5,20018.0,4636.0,30738.0,17374.0,"Macon County, Alabama",087,01,2015
44,37.8,346438.0,46436.0,57993.0,32131.0,"Madison County, Alabama",089,01,2015
45,42.2,20306.0,5244.0,32042.0,21471.0,"Marengo County, Alabama",091,01,2015
46,44.1,30387.0,5960.0,32299.0,20042.0,"Marion County, Alabama",093,01,2015
47,38.8,94318.0,18794.0,38983.0,21363.0,"Marshall County, Alabama",095,01,2015
48,37.0,414251.0,77917.0,43809.0,22953.0,"Mobile County, Alabama",097,01,2015
49,41.1,22217.0,6901.0,27257.0,15863.0,"Monroe County, Alabama",099,01,2015
50,35.2,228138.0,49918.0,44369.0,25138.0,"Montgomery County, Alabama",101,01,2015
51,39.5,119786.0,18936.0,45751.0,24449.0,"Morgan County, Alabama",103,01,2015
52,36.3,10038.0,3373.0,24537.0,14804.0,"Perry County, Alabama",105,01,2015
53,42.4,19856.0,4801.0,30330.0,17957.0,"Pickens County, Alabama",107,01,2015
54,31.3,33155.0,8158.0,32825.0,19415.0,"Pike County, Alabama",109,01,2015
55,42.8,22648.0,4511.0,36924.0,19363.0,"Randolph County, Alabama",111,01,2015
56,34.8,58302.0,12054.0,37049.0,19882.0,"Russell County, Alabama",113,01,2015
57,39.8,85864.0,13417.0,51859.0,24168.0,"St. Clair County, Alabama",115,01,2015
58,37.9,203530.0,16693.0,70187.0,33494.0,"Shelby County, Alabama",117,01,2015
59,36.7,13341.0,5372.0,19501.0,12887.0,"Sumter County, Alabama",119,01,2015
60,40.9,81437.0,17950.0,35155.0,19598.0,"Talladega County, Alabama",121,01,2015
61,42.8,41153.0,9117.0,39206.0,21177.0,"Tallapoosa County, Alabama",123,01,2015
62,31.9,200458.0,36274.0,46565.0,23124.0,"Tuscaloosa County, Alabama",125,01,2015
63,42.4,65923.0,14598.0,35843.0,20166.0,"Walker County, Alabama",127,01,2015
64,40.9,16997.0,3200.0,42811.0,19743.0,"Washington County, Alabama",129,01,2015
65,40.2,11235.0,4126.0,23750.0,14170.0,"Wilcox County, Alabama",131,01,2015
66,43.9,24130.0,5157.0,33194.0,18808.0,"Winston County, Alabama",133,01,2015
67,42.4,3304.0,553.0,61518.0,28608.0,"Aleutians East Borough, Alaska",013,02,2015
68,36.8,5684.0,499.0,84306.0,31754.0,"Aleutians West Census Area, Alaska",016,02,2015
69,32.5,299107.0,23914.0,78326.0,36920.0,"Anchorage Municipality, Alaska",020,02,2015
70,26.7,17776.0,4364.0,51012.0,17746.0,"Bethel Census Area, Alaska",050,02,2015
71,39.7,970.0,69.0,79750.0,38267.0,"Bristol Bay Borough, Alaska",060,02,2015
72,35.9,2060.0,254.0,81544.0,35315.0,"Denali Borough, Alaska",068,02,2015
73,29.7,4979.0,894.0,54173.0,22257.0,"Dillingham Census Area, Alaska",070,02,2015
74,30.4,99705.0,7752.0,71068.0,33244.0,"Fairbanks North Star Borough, Alaska",090,02,2015
75,45.5,2560.0,135.0,58750.0,33902.0,"Haines Borough, Alaska",100,02,2015
76,47.8,2128.0,252.0,52419.0,30943.0,"Hoonah-Angoon Census Area, Alaska",105,02,2015
77,37.0,32531.0,2110.0,85746.0,39979.0,"Juneau City and Borough, Alaska",110,02,2015
78,40.5,57221.0,5558.0,63684.0,31537.0,"Kenai Peninsula Borough, Alaska",122,02,2015
79,38.7,13699.0,1640.0,64222.0,32021.0,"Ketchikan Gateway Borough, Alaska",130,02,2015
80,32.4,13973.0,1552.0,70887.0,30657.0,"Kodiak Island Borough, Alaska",150,02,2015
81,23.0,7914.0,2622.0,38229.0,11569.0,"Kusilvak Census Area, Alaska",158,02,2015
82,31.1,1474.0,247.0,50781.0,23041.0,"Lake and Peninsula Borough, Alaska",164,02,2015
83,34.6,96178.0,9454.0,72983.0,29913.0,"Matanuska-Susitna Borough, Alaska",170,02,2015
84,27.8,9854.0,2592.0,48868.0,19804.0,"Nome Census Area, Alaska",180,02,2015
85,33.9,9667.0,976.0,72576.0,51085.0,"North Slope Borough, Alaska",185,02,2015
86,26.1,7732.0,1824.0,63648.0,21101.0,"Northwest Arctic Borough, Alaska",188,02,2015
87,40.4,3221.0,327.0,67935.0,34884.0,"Petersburg Borough, Alaska",195,02,2015
88,39.7,6376.0,921.0,48523.0,25205.0,"Prince of Wales-Hyder Census Area, Alaska",198,02,2015
89,38.9,8943.0,798.0,70376.0,33890.0,"Sitka City and Borough, Alaska",220,02,2015
90,43.7,999.0,44.0,69318.0,38696.0,"Skagway Municipality, Alaska",230,02,2015
91,35.8,7029.0,1011.0,62670.0,30079.0,"Southeast Fairbanks Census Area, Alaska",240,02,2015
92,36.6,9617.0,1029.0,78810.0,33293.0,"Valdez-Cordova Census Area, Alaska",261,02,2015
93,50.4,2387.0,279.0,48603.0,30089.0,"Wrangell City and Borough, Alaska",275,02,2015
